field: text
field: user/screen_name
field: user/name
field: user/id
  >>>   user/id: 29798235
  >>>   user/screen_name: "Nekonushi"

  >>>   text: "@birrophilia sempre pronto a scambiare commenti opinioni e consigli, poi ti far\u00f2 sapere come procede la mia, la prima una sar\u00e0 una Pale Ale"
  >>>   user/name: "Emanuele"
  >>>   unixtime: 1257435250599
  >>>   user/id: 9213292
  >>>   user/screen_name: "_emanu_"

  >>>   text: "The other day I learned that if you say 'beer can' with an English accent, you're saying 'bacon' with a Jamaican accent. Mind blown"
  >>>   user/name: "Monica Zilinger"
  >>>   unixtime: 1257435251901
  >>>   user/id: 31280540
  >>>   user/screen_name: "meezers614"

  >>>   text: "back at the hotel new berlin after a long day of walking. anyone want to get a beer this evening? #jsconfeu"
  >>>   user/name: "furf"
  >>>   unixtime: 1257435252163
  >>>   user/id: 15600393
  >>>   user/screen_name: "furf"

  >>>   text: "Recently read \"I hope They Serve Beer in Hell,\" that has to be one of the funniest books i have ever read. I highly recommend it!"
  >>>   user/name: "Michael Hough"
  >>>   unixtime: 1257435253916
  >>>   user/id: 23813699
  >>>   user/screen_name: "mikehough"

  >>>   text: "@aleskywalker ale can u text msg me?"
  >>>   user/name: "toni ryan"
  >>>   unixtime: 1257435261896
  >>>   user/id: 21840533
  >>>   user/screen_name: "hovgirl102699"

  >>>   text: "@alerost qu\u00e9 bien que estuviste, Ale! Moviste el archivo despeinado! Ah\u00ed nos vieron la cara y dijeron: \"Ustedes tele no pibes, blogs\"."
  >>>   user/name: "Seba Espi\u00f1o"
  >>>   unixtime: 1257435265502
  >>>   user/id: 8511232
  >>>   user/screen_name: "sespino"

  >>>   text: "Beer with extra buzz on tap up to 16% - USATODAY.com: http://bit.ly/3YOLm3 via @addthis"
  >>>   user/name: "Bill"
  >>>   unixtime: 1257435268157
  >>>   user/id: 73533261
  >>>   user/screen_name: "RasmussenNews"

  >>>   text: "@robquig Good question. If I wasn't real, how could I drink your beer and play Beatles Rock Band with you?"
  >>>   user/name: "Chris Carter"
  >>>   unixtime: 1257435284481
  >>>   user/id: 3513571
  >>>   user/screen_name: "maczter"

  >>>   text: "@Dr_Jez  did a good beer even matter by the end o the nite ha ha"
  >>>   user/name: "Sandy Scherger"
  >>>   unixtime: 1257435289220
  >>>   user/id: 41572186
  >>>   user/screen_name: "Sandy011"

  >>>   text: "@britl You knew full well I only drink beer in the morning."
  >>>   user/name: "Adam Rozenhart"
  >>>   unixtime: 1257435290253
  >>>   user/id: 16413647
  >>>   user/screen_name: "bingofuel"

  >>>   text: "Hah mau dibawa kemana gue? Toloooong.. Eh itu apa? Beer? LANJUUUUUUT!!"
  >>>   user/name: "Reza Hasfinanda"
  >>>   unixtime: 1257435292882
  >>>   user/id: 35449762
  >>>   user/screen_name: "rezahasfinanda"

  >>>   text: "@krystaaustin @kristindoll maybe when kristin gets there we can beer pong vodka. I mean that sounds like fun and all.."
  >>>   user/name: "Ashley Casmirri"
  >>>   unixtime: 1257435298403
  >>>   user/id: 24093104
  >>>   user/screen_name: "shippensburg"

  >>>   text: "RT @draftmag San Diego Beer Week kicking off tomorrow | DRAFT News | DRAFT Magazine http://bit.ly/1hglZh"
  >>>   user/name: "New Brew Thursday"
  >>>   unixtime: 1257435298435
  >>>   user/id: 40187508
  >>>   user/screen_name: "newbrewthursday"

  >>>   text: "Fun fun fun tonight!!!RT @adiyukanrzzmn: OJ's with unpad crew @bajays @ditopampam dll beer me beer me beer me for me http://myloc.me/1lM5q"
  >>>   user/name: "Hamdani Nugroho"
  >>>   unixtime: 1257435298636
  >>>   user/id: 62777653
  >>>   user/screen_name: "ditopampam"

  >>>   text: "RT @JuliusPage @TarayeFierce wheat beer? &lt;&lt;lmao..this weekend!"
  >>>   user/name: "Taraye"
  >>>   unixtime: 1257435301674
  >>>   user/id: 31557207
  >>>   user/screen_name: "TarayeFierce"

  >>>   text: "Glenn Clark: Thursday Morning&#8217;s Crabs and Beer http://bit.ly/2VnkbD"
  >>>   user/name: "WNST"
  >>>   unixtime: 1257435306478
  >>>   user/id: 17683439
  >>>   user/screen_name: "WNST"

  >>>   text: "Don't forget FREE BEER FRIDAY!!  Tomorrow night at Danno's.  Either print this page, our Myspace page at... http://bit.ly/N7iNU"
  >>>   user/name: "RadioStar"
  >>>   unixtime: 1257435306858
  >>>   user/id: 80112517
  >>>   user/screen_name: "RadioStarStl"

  >>>   text: "@JadziaaaxD \"I Kocham Ci\u0119 Jeszcze Bardziej ni\u017c Wczoraj, ni\u017c dzisiaj &lt;33 Ale mniej ni\u017c jutro. &lt;33\" Bejbee to by\u0142o meeega s\u0142odkie \u2665"
  >>>   user/name: "Ola."
  >>>   unixtime: 1257435312055
  >>>   user/id: 65493819
  >>>   user/screen_name: "Alexandra_113"

  >>>   text: "@TweetDiane Me too...are you meeting up with Adina? She mentioned for us to come by her suite for a beer...or a drink..:)"
  >>>   user/name: "Michelle Shouldice"
  >>>   unixtime: 1257435314003
  >>>   user/id: 27068616
  >>>   user/screen_name: "JoesTruckerGirl"

  >>>   text: "thread gw jadi hot thread di ultahnya kaskus..cendolnya dong gan..:beer:"
  >>>   user/name: "desfan pamungkas"
  >>>   unixtime: 1257435317070
  >>>   user/id: 60053536
  >>>   user/screen_name: "desfandwi"

  >>>   text: "I'm in the mood for a cold beer\nhttp://moodspin.com/passage31th"
  >>>   user/name: "bourbon\u266a"
  >>>   unixtime: 1257435319149
  >>>   user/id: 84234682
  >>>   user/screen_name: "passage31th"

  >>>   text: "RT @Crown_Liquors *Crown Liquors in Fishers just made #27 on the Top 50 Best Beer Retailers in the World by Ratebeer http://bit.ly/3JwoyA"
  >>>   user/name: "Matt Clapesattle"
  >>>   unixtime: 1257435328494
  >>>   user/id: 46293660
  >>>   user/screen_name: "mattworldclass"

  >>>   text: "@newbrewthursday well there ya go.  much better as a gift than a $6 beer.  :D"
  >>>   user/name: "Jay Price"
  >>>   unixtime: 1257435331447
  >>>   user/id: 14354955
  >>>   user/screen_name: "nocturne1"

  >>>   text: "@SvM216 sweatpants and cheap beer FTW!"
  >>>   user/name: "Alex Kidd"
  >>>   unixtime: 1257435337701
  >>>   user/id: 16582470
  >>>   user/screen_name: "abkidd"

  >>>   text: "@krutis ale evidentne je to clovek co dela nebo delal u O2 a nebo je jejich dealer"
  >>>   user/name: "VitaR"
  >>>   unixtime: 1257435338941
  >>>   user/id: 17821377
  >>>   user/screen_name: "VitaR"

  >>>   text: "[Count me in for the beer part!] RT @jterrill8: Happy Guy Fawkes Day! http://bit.ly/1ZcTzG"
  >>>   user/name: "Seth Petersen"
  >>>   unixtime: 1257435342187
  >>>   user/id: 46909935
  >>>   user/screen_name: "sethpetersen"

  >>>   text: "\"Mmmmm. Beer\" Homer Simpson.  great quote! Hahahaha"
  >>>   user/name: "true4real"
  >>>   unixtime: 1257435342395
  >>>   user/id: 18765152
  >>>   user/screen_name: "true4real"

  >>>   text: "Lion&#39;s share from premium beer: The result was driven by a 16 per cent surge in operating earnings from the.. http://bit.ly/1KwWU3"
  >>>   user/name: "Greg and Rich"
  >>>   unixtime: 1257435345113
  >>>   user/id: 66158882
  >>>   user/screen_name: "BeerGuys"

  >>>   text: "Risen skonczony i sprzedany. Koncowka slabsza niz poczatek, ale daje rade. Szkolna 4"
  >>>   user/name: "gajos"
  >>>   unixtime: 1257435350478
  >>>   user/id: 73072727
  >>>   user/screen_name: "gajoos1"

  >>>   text: "What #homebrew #beer techniques/gadgets/anything would you out there want to learn more about? shoot me some ideas!"
  >>>   user/name: "Justin Boswell"
  >>>   unixtime: 1257435352846
  >>>   user/id: 84709689
  >>>   user/screen_name: "SeattleHomeBrew"

  >>>   text: "[577+ Diggs and Counting] Semi Hangs Over Freeway Dumping 1000's Of Beer Cans [VID]: http://digg.com/d3196NG?t #fb"
  >>>   user/name: "Scott Bradley"
  >>>   unixtime: 1257435354680
  >>>   user/id: 6291392
  >>>   user/screen_name: "ScottBradley"

  >>>   text: "@Armano Can I use 'pimplemented'? Will buy a beer when in Chicago next time. :)"
  >>>   user/name: "Rasmus Stoltzenberg"
  >>>   unixtime: 1257435357026
  >>>   user/id: 14073512
  >>>   user/screen_name: "_raz_"

  >>>   text: "The bottles arrived today to fill the new Culinaria exclusive Holiday Ale!  Will update when it ships. http://twitpic.com/od4zh"
  >>>   user/name: "Schlafly Beer"
  >>>   unixtime: 1257435358907
  >>>   user/id: 20277132
  >>>   user/screen_name: "Schlafly"

  >>>   text: "@ibufrankie beer pong permainan apa sih sey? Hehehe..maklum udh jarang keluar nih :p"
  >>>   user/name: "mahesa ruzicka"
  >>>   unixtime: 1257435367745
  >>>   user/id: 24350505
  >>>   user/screen_name: "mahesa"

  >>>   text: "Awesome time RT @TheArtofBeer: Thanks heaps for the great beer and fun time in Berkeley @shaunosullivan & @bisonbrew xoxo"
  >>>   user/name: "ShaunO"
  >>>   unixtime: 1257435369143
  >>>   user/id: 14086409
  >>>   user/screen_name: "shaunosullivan"

  >>>   text: "Ale"
  >>>   user/name: "Gio Gasparini"
  >>>   unixtime: 1257435380547
  >>>   user/id: 80050482
  >>>   user/screen_name: "gioinbox"

  >>>   text: "@AlejandroSanz Ale; cuando estas por Peru?"
  >>>   user/name: "Adriana Hoyos Morale"
  >>>   unixtime: 1257435382849
  >>>   user/id: 32619869
  >>>   user/screen_name: "Adryhm13"

  >>>   text: "working, soccer practice, maybe a beer, sleep, breakfast, study life's good!"
  >>>   user/name: "Tom Waasdorp"
  >>>   unixtime: 1257435392960
  >>>   user/id: 82185450
  >>>   user/screen_name: "KEIZERTOM"

  >>>   text: "P\u0159\u00edpravy na stu\u017ekovc\u00ed ve\u010d\u00edrek... nem\u016f\u017eu se do\u010dkat ale m\u00e1m dojem \u017ee se n\u011bco stane... n\u011bco n\u00e9 moc dobr\u00fdho... na\u0161t\u011bst\u00ed se to nestane m\u011b..."
  >>>   user/name: "Michael Pe\u0165ura"
  >>>   unixtime: 1257435393964
  >>>   user/id: 62138788
  >>>   user/screen_name: "Die_couch"

  >>>   text: "Quality beer time with @schizophrenicz.....sing baby siiinngg"
  >>>   user/name: "yanne sadnyana"
  >>>   unixtime: 1257435407043
  >>>   user/id: 39219830
  >>>   user/screen_name: "yanneade"

  >>>   text: "@mupsi27 awesome pics of the beer sign and the longboard..."
  >>>   user/name: "Kelly McDowell"
  >>>   unixtime: 1257435407564
  >>>   user/id: 26746631
  >>>   user/screen_name: "JK_83"

  >>>   text: "Dj&#39;N @ Wings n Rings Sat. In Weslaco with $10.99 BEER TUBES ALL NIGHT!!"
  >>>   user/name: "MIchael R."
  >>>   unixtime: 1257435420458
  >>>   user/id: 24404333
  >>>   user/screen_name: "MYCRO956"

  >>>   text: "Having a cuppa before putting some more beer on the website courtesy of @GrainBrewery"
  >>>   user/name: "Paul Campbell"
  >>>   unixtime: 1257435421505
  >>>   user/id: 58904686
  >>>   user/screen_name: "welovelocalfood"

  >>>   text: "All done with the beer list finally."
  >>>   user/name: "Arturo Garcia"
  >>>   unixtime: 1257435422041
  >>>   user/id: 62060141
  >>>   user/screen_name: "lunytunes07"

  >>>   text: "I just posted a bunch of pictures from our dunkelweizen brew day here: http://bit.ly/1KMSfy"
  >>>   user/name: "Tommy Werner"
  >>>   unixtime: 1257435425324
  >>>   user/id: 17879381
  >>>   user/screen_name: "wtwerner"

  >>>   text: "@honza95m J\u00e1 u\u017e v\u00e1\u017en\u011b p\u0159ipad\u00e1m hodn\u011b trapnej, ale nem\u016f\u017eu si pomoct - \"p\u0159ez\", \"zpustit\" to je v\u00e1\u017en\u011b... :D"
  >>>   user/name: "Michal Op\u00e1lka"
  >>>   unixtime: 1257435435267
  >>>   user/id: 50343278
  >>>   user/screen_name: "MichalOpalka"

